구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.010060362173038226,0.07692307692307693,0.13333333333333336,0.044772386193096536,0.08293460925039874,82.8125,100.0,100.0,39.90384615384615,82.75862068965517,570500.0,3238,0.06960475357458876,95.64692073402865
강동구,0.2575452716297787,0.3846153846153847,0.8,0.37068534267133557,0.40758461811093394,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,453233.0,1010,0.4440861234054866,88.84612685916477
강북구,0.0,0.0,0.0,0.0,0.0,94.91525423728814,100.0,100.0,28.483920367534456,89.76234003656307,330192.0,831,0.0,97.46008970390572
관악구,0.36016096579476864,0.6923076923076924,0.33333333333333337,0.6205602801400699,0.5085947191210349,80.67226890756302,89.47368421052632,83.33333333333334,38.1620931716656,88.4108867427568,525515.0,2109,0.5029913981393799,89.64999560604696
광진구,0.09255533199195172,0.07692307692307693,0.06666666666666667,0.18559279639819906,0.14318624844940636,61.904761904761905,66.66666666666666,100.0,34.193548387096776,86.34686346863468,372164.0,878,0.11298482408586015,82.35150196469547
구로구,0.45472837022132806,0.3076923076923077,0.26666666666666666,0.303151575787894,0.24153818890661,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,447874.0,1884,0.31475542185496125,76.15872087423024
금천구,0.18511066398390347,0.19230769230769232,0.13333333333333336,0.22861430715357675,0.26705653021442494,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,255082.0,1348,0.20128450539858617,100.0
노원구,0.18108651911468815,0.19230769230769232,0.6,0.1965982991495748,0.22541201488569912,83.22147651006712,100.0,70.0,46.2821403752606,85.7064321055525,569384.0,1566,0.2790809050915309,90.8666577091121
도봉구,0.05432595573440645,0.038461538461538464,0.06666666666666667,0.0750375187593797,0.11465532518164097,82.55813953488372,50.0,100.0,42.91710388247639,85.00837520938023,348646.0,825,0.06982940096072646,85.0339747608028
동대문구,0.4466800804828974,0.5384615384615385,0.4666666666666667,0.4207103551775887,0.43593833067517274,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,369496.0,1870,0.46169139429277284,76.81643238815198
동작구,0.5533199195171027,0.2692307692307693,0.4,0.33241620810405204,0.2312599681020734,57.784431137724546,62.5,57.14285714285714,45.660948536831484,86.77105831533477,412520.0,1302,0.3572453729907995,73.09227415684771
마포구,0.12273641851106641,0.19230769230769232,0.13333333333333336,0.30940470235117556,0.34768740031897927,87.5,50.0,100.0,35.55555555555556,80.90872857712236,389649.0,980,0.22109390936444936,83.49613809866214
서대문구,0.13480885311871227,0.3076923076923077,0.2,0.2386193096548274,0.18872939925571508,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,327163.0,1254,0.21396997394431247,96.01179248681915
서초구,0.6156941649899397,0.8846153846153847,1.0,0.7828914457228614,0.747297536771221,66.3013698630137,87.5,87.5,33.59767380385937,83.94206549118388,450310.0,2297,0.8060997064198814,84.64652550794501
성동구,0.323943661971831,0.46153846153846156,0.6666666666666666,0.6468234117058529,0.4869750132908027,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,311244.0,1327,0.517189443034723,86.84239801472208
성북구,0.46478873239436624,0.7692307692307693,0.33333333333333337,0.4999999999999999,0.5252525252525253,87.93103448275862,90.47619047619048,100.0,37.89592760180995,84.64824836228995,461260.0,1651,0.5185210720421989,94.57986311911145
송파구,0.19517102615694165,0.19230769230769232,0.2,0.428464232116058,0.38366117313485737,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,667483.0,1081,0.27992082474310986,87.29869694067284
양천구,0.7947686116700202,0.7307692307692308,0.26666666666666666,0.8929464732366181,0.7042353358142832,76.87224669603523,80.0,100.0,40.77669902912621,85.31298385312984,479978.0,2482,0.6778772636313638,90.33635197672514
영등포구,0.18913480885311873,0.5000000000000001,0.4,0.19534767383691845,0.37249689881268827,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,402985.0,1277,0.33139587630054507,95.99334037934398
용산구,0.2776659959758552,0.2307692307692308,0.6,0.38519259629814906,0.3856104908736488,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,244203.0,2096,0.3758476627833768,90.45792016629474
은평구,1.0,1.0,0.9333333333333333,1.0,0.9999999999999999,78.77697841726618,85.18518518518519,100.0,44.571059987099545,84.60420032310178,494388.0,2108,0.9866666666666667,92.73663505117659
종로구,0.5955734406438632,0.7307692307692308,0.4,0.8611805902951475,0.5947191210349105,89.5774647887324,100.0,100.0,41.259765625,83.2692800409941,162820.0,1619,0.6364484765486303,97.68300343975537
중구,0.7303822937625756,0.7692307692307693,0.7333333333333334,0.7793896948474236,0.7510189615452774,77.48815165876776,100.0,91.66666666666666,34.62456885115415,82.44514106583071,133240.0,1023,0.7526710105438759,91.10596179565938
중랑구,0.0744466800804829,0.15384615384615385,0.13333333333333336,0.11530765382691346,0.08293460925039874,65.625,80.0,66.66666666666666,38.06104129263914,84.82758620689656,414503.0,916,0.11197368606745646,79.06520907392235
